dataFileName;solutionValue;cpuTime
centSommets;839.0;0.093953
cinqCentSommets;2802.0;0.185001
cinqSommets;4.0;0.000131
cinquanteSommets;191.0;0.006691
dixMilleSommets;4856415.0;298.889148
dixSeptSommets;60.0;0.000929
dixSommets;13.0;0.000270
milleSommets;3452.0;0.178456
quatreSommets;2.0;0.000073
quinzeSommets;43.0;0.000642
trenteSommets;190.0;0.002469
vingtCinqSommets;152.0;0.001888
vingtDeuxSommets;103.0;0.001908
vingtEtunSommets;107.0;0.001363
vingtQuatreSommets;131.0;0.001692
vingtSommets;41.0;0.000719
vingtTroisSommets;117.0;0.001537
